,Unnamed: 0,date2,hour,favorites count,favorites mean,retweets mean,retweets count,RT_score mean,RT_score count,fav_score mean,Daily Weight mean,Daily Weight count,blob_sent mean,subjectivity mean,vader_sent mean,Close,price dir,movement,month
0,0,2019-01-01,0,2,76335.5,12856.0,2,5.07733709743749,2,7.2504523808597,12.327789478297191,2,2.080815492040208,0.4499999999999999,5.067590430041075,3700.31,0.0,0.0,1.0
1,1,2019-01-01,1,1,18.0,17.0,1,2.833213344056216,1,2.8903717578961645,6.723585101952381,1,-1.0505601721800597,0.34375,1.9901811901779043,3689.69,3.538,1.0,1.0
2,2,2019-01-01,2,4,5117.75,188.5,4,2.923717987858525,4,4.485641557558544,7.659359545417068,4,0.8256598284626087,0.2,1.920760172070248,3690.0,3.656,1.0,1.0
3,3,2019-01-01,3,2,83.5,3.5,2,0.8958797346140275,2,2.555993894178272,3.451873628792299,2,0.0,0.2636363636363636,2.8857663536703617,3693.13,1.34,1.0,1.0
4,4,2019-01-01,4,3,294.3333333333333,10.0,3,1.772706664614739,3,3.747222590310864,5.519929254925603,3,0.0,0.1666666666666666,1.42632497603606,3692.71,-2.038,0.0,1.0
5,5,2019-01-01,5,2,38.5,14.5,2,2.393745871391023,2,3.562239131246712,5.955985002637736,2,0.377070925888599,0.5738095238095238,3.0391824117046267,3699.94,-0.074,0.0,1.0
6,6,2019-01-01,6,2,61.5,20.5,2,1.844439727056968,2,3.665202605922201,6.009642332979169,2,4.558160801690777,0.8,1.5946386471783236,3703.56,2.774,1.0,1.0
7,7,2019-01-01,7,3,24426.666666666668,979.6666666666666,3,4.538173270430399,3,7.107690264003022,11.645863534433422,3,-0.1591653045140716,0.1888888888888888,3.18760078167889,3713.83,4.766,1.0,1.0
8,8,2019-01-01,8,3,39.333333333333336,17.0,3,1.5283224928901904,3,3.1495231869028117,5.011179013126335,3,-0.0566866230277025,0.1111111111111111,1.3256336687934784,3716.7,4.714,1.0,1.0
9,9,2019-01-01,9,1,67.0,29.0,1,3.367295829986474,1,4.204692619390966,7.571988449377439,1,0.0,1.0,2.0565520628509124,3699.95,1.448,1.0,1.0
10,10,2019-01-01,10,2,31.5,12.0,2,2.452637389219215,2,3.4396779022302195,6.892315291449434,2,3.64578456977916,0.15,2.322000192492347,3713.07,2.626,1.0,1.0
11,11,2019-01-01,12,1,41.0,15.0,1,2.70805020110221,1,3.713572066704308,8.421622267806518,1,4.210811133903259,0.5,4.244425774958547,3717.0,0.634,1.0,1.0
12,12,2019-01-01,13,1,71.0,33.0,1,3.49650756146648,1,4.262679877041316,8.759187438507796,1,0.0,0.5,0.0,3715.93,-0.154,0.0,1.0
13,13,2019-01-01,14,2,39.0,20.5,2,3.020127355638707,2,3.6622449896742655,8.182372345312974,2,-1.1563956510387448,0.3,-3.363248469495235,3698.53,-0.284,0.0,1.0
14,14,2019-01-01,15,1,91.0,37.0,1,3.610917912644224,1,4.51085950651685,9.121777419161074,1,0.0,0.0,-2.7614043225147653,3682.61,-6.092,0.0,1.0
15,15,2019-01-01,16,6,79.83333333333333,26.666666666666668,6,3.082873617511192,6,4.144965068550943,8.394505352728801,6,-0.3646742443820784,0.4757575757575757,-0.593354470537616,3693.54,-2.8,0.0,1.0
16,16,2019-01-01,17,10,86.1,25.2,10,2.235491664611279,10,3.587731269129364,6.823222933740643,10,0.2435300967759302,0.3335714285714285,0.9662854084297076,3686.32,-6.136,0.0,1.0
17,17,2019-01-01,18,6,17.833333333333332,8.666666666666666,6,1.2120663987616744,6,2.155893145450998,4.534626210879339,6,-0.0710009739080574,0.2064814814814815,1.045397242625296,3659.41,-11.304,0.0,1.0
18,18,2019-01-01,19,4,120.0,21.25,4,2.11658021526062,4,2.958578267471795,6.075158482732415,4,0.4711309034835763,0.1678571428571428,-0.6430276447073984,3696.73,-0.36,0.0,1.0
19,19,2019-01-01,20,3,13.0,1.0,3,0.2310490601866484,3,2.517237405117104,3.748286465303752,3,-0.1277737781352072,0.1999999999999999,0.0,3719.0,7.278,1.0,1.0
20,20,2019-01-01,21,14,6.571428571428571,2.0,14,0.3747874337257489,14,1.4019989479941468,2.8482149531484677,14,0.2862624240911172,0.4332142857142856,0.4886403118083253,3708.21,2.934,1.0,1.0
21,21,2019-01-01,22,5,27.0,9.8,5,1.3369223455335857,5,2.8012493226718496,5.338171668205435,5,-0.2436388179490896,0.36,0.3179424988512741,3711.2,4.976,1.0,1.0
22,22,2019-01-01,23,2,45.5,26.5,2,3.151309487872452,2,3.771636673352723,7.922946161225175,2,0.0,0.0,0.397505438273316,3797.14,27.546,1.0,1.0
23,23,2019-01-02,2,2,20.0,8.0,2,1.3862943611198906,2,2.6590599969221085,4.545354358041998,2,-0.0895879734614027,0.8,-1.6676738511557014,,,,
24,24,2019-01-02,3,4,11.0,2.5,4,0.7489330683884977,4,2.15763046918081,2.9065635375693075,4,-0.2906563537569308,0.6,0.0,,,,
25,25,2019-01-02,4,1,25.0,7.0,1,1.9459101490553128,1,3.218875824868201,5.164785973923514,1,0.0,0.0,1.8655206937811728,,,,
26,26,2019-01-02,5,4,38.0,12.25,4,2.059369822153408,4,3.446777770860644,5.756147593014052,4,-0.0274653072167027,0.0833333333333333,-0.621829326343783,,,,
27,27,2019-01-02,7,3,31.666666666666668,12.333333333333334,3,2.465853845174684,3,3.427673092872596,6.226860271380613,3,-0.0969518526660534,0.1111111111111111,-1.4666271033002307,3771.08,-2.44,0.0,1.0
28,28,2019-01-02,8,1,35.0,8.0,1,2.079441541679836,1,3.555348061489413,5.634789603169249,1,-0.5634789603169249,0.6,0.0,3781.35,0.274,1.0,1.0
29,29,2019-01-02,9,3,59.333333333333336,21.33333333333333,3,2.9470047701612976,3,3.939646164702245,7.219984268196875,3,-1.3597049861599153,0.25,-2.915746786151018,3775.0,-0.282,0.0,1.0
30,30,2019-01-02,10,1,10.0,1.0,1,0.0,1,2.302585092994046,2.302585092994046,1,-0.2302585092994046,0.6,0.0,3788.0,2.992,1.0,1.0
31,31,2019-01-02,11,5,74.6,32.2,5,3.28867480820479,5,4.101022842292397,7.989697650497189,5,0.281475548642689,0.02,0.7036467349603306,3787.97,5.888,1.0,1.0
32,32,2019-01-02,12,4,126.75,55.5,4,3.671416300123601,4,4.440668027418678,9.11208432754228,4,-0.7937628355809664,0.3633101851851852,3.768640365877177,3792.51,4.286,1.0,1.0
33,33,2019-01-02,13,2,13.0,9.0,2,1.416606672028108,2,1.6094379124341005,4.526044584462208,2,0.248372213471112,0.34375,0.2077439005582499,3825.65,8.86,1.0,1.0
34,34,2019-01-02,14,8,22.75,8.75,8,1.3820261458564087,8,2.694942968587549,5.2019691144439575,8,-0.2263401141204081,0.425,0.2815197837470303,3811.24,7.248,1.0,1.0
35,35,2019-01-02,15,4,343.25,100.5,4,4.416968388734222,4,5.596908912745166,11.013877301479388,4,0.4558954471191576,0.075,0.6007252617363533,3801.28,2.656,1.0,1.0
36,36,2019-01-02,16,6,49.66666666666666,20.666666666666668,6,2.741639452200605,6,3.7819876325830974,7.856960418117036,6,0.1081899335955685,0.359090909090909,0.9852428391814708,3824.89,7.384,1.0,1.0
37,37,2019-01-02,17,3,20.0,7.333333333333333,3,1.3296613488547582,3,2.681862760267842,5.0115241091226,3,-0.1257529574079927,0.5333333333333333,0.8862043501152287,3822.6,6.018,1.0,1.0
38,38,2019-01-02,18,10,88.7,33.7,10,1.4149694464067477,10,2.031400264323397,4.446369710730145,10,0.6981499657028425,0.375,1.9118120578011788,3828.87,0.644,1.0,1.0
39,39,2019-01-02,19,3,2.333333333333333,0.0,3,0.0,3,0.8283022165960001,2.494968883262667,3,1.1670304449093096,0.3,0.3778011631266419,3824.98,2.748,1.0,1.0
40,40,2019-01-02,20,7,20.0,7.142857142857143,7,0.9929735383489404,7,2.2790706507508887,4.414901331956972,7,0.4499212445128667,0.1857142857142857,1.50124110250443,3849.0,9.544,1.0,1.0
41,41,2019-01-02,21,6,63.5,7.5,6,1.2296264847046454,6,2.810332796747536,5.039959281452181,6,-0.2520738109414944,0.4666666666666666,-0.0726196594781404,3856.68,6.358,1.0,1.0
42,42,2019-01-02,22,5,44.2,19.6,5,2.540085473127948,5,3.363250850668236,7.103336323796185,5,-0.29301927847583,0.5254545454545454,0.354958831999023,3862.12,7.904,1.0,1.0
43,43,2019-01-02,23,2,25.5,12.0,2,1.5890269151739729,2,2.719039654461598,5.308066569635571,2,-0.130471895621705,0.3,3.557775024045039,3858.56,5.938,1.0,1.0
44,44,2019-01-03,0,2,873.0,115.0,2,4.545158664688226,2,6.471091762761118,11.016250427449345,2,0.8512287781341956,0.2272727272727272,3.56801738510732,3830.78,1.16,1.0,1.0
45,45,2019-01-03,1,4,7972.75,576.25,4,2.885305333531269,4,5.27532840134112,8.16063373487239,4,3.520449008307572,0.3625,2.827808110698565,3835.96,-2.608,0.0,1.0
46,46,2019-01-03,2,4,14.75,1.0,4,0.3465735902799726,4,1.7269388197455342,2.073512410025507,4,-0.1367159898965214,0.4125,-0.7081600453503186,3833.47,-4.642,0.0,1.0
47,47,2019-01-03,3,4,10.5,3.5,4,0.6212266624470001,4,1.8283050967725756,2.449531759219576,4,0.0373619515386487,0.5148809523809523,0.4327440638174042,3841.83,-4.058,0.0,1.0
48,48,2019-01-03,4,6,2365.1666666666665,94.0,6,3.046518761887505,6,4.435378731478713,7.648564160032884,6,0.0,0.2535353535353535,1.2608972608945768,3834.59,-4.794,0.0,1.0
49,49,2019-01-03,5,3,17.0,1.0,3,0.2310490601866484,3,2.6620549534442426,2.8931040136308908,3,-0.2893104013630891,0.6,0.1312192077179632,3824.38,-1.28,0.0,1.0
50,50,2019-01-03,6,1,28.0,1.0,1,0.0,1,3.332204510175204,3.332204510175204,1,-0.3332204510175204,0.6,0.0,3820.53,-3.086,0.0,1.0
51,51,2019-01-03,7,1,4.0,1.0,1,0.0,1,1.3862943611198906,1.3862943611198906,1,0.0,0.0,0.0,3828.88,-0.918,0.0,1.0
52,52,2019-01-03,9,3,32.0,9.666666666666666,3,1.749008024053495,3,3.451096158154781,5.53343751554161,3,-0.5593570330068965,0.2944444444444444,-0.6029154396117887,3805.81,-5.756,0.0,1.0
53,53,2019-01-03,10,9,144.22222222222223,62.888888888888886,9,2.130012223461821,9,3.1170032564222043,5.247015479884025,9,0.950980743778452,0.4597643097643097,1.711926404064388,3811.52,-2.572,0.0,1.0
54,54,2019-01-03,11,4,468.75,208.5,4,3.76950645447558,4,4.842683261426302,8.86218971590188,4,-0.2025360115241944,0.5645833333333333,2.796609381130376,3804.0,-3.306,0.0,1.0
55,55,2019-01-03,12,6,210.0,71.16666666666667,6,3.385691745793275,6,4.960090108827855,9.512448521287796,6,0.7205793904903351,0.15,4.532887754007855,3818.02,-2.172,0.0,1.0
56,56,2019-01-03,14,6,360.1666666666667,84.5,6,2.5251733176973343,6,4.32646899979218,8.01830898415618,6,0.7646047971583793,0.3693980622552051,1.6896212783281117,3796.7,-1.822,0.0,1.0
57,57,2019-01-03,15,8,17.25,7.75,8,0.8535890089552105,8,2.185108439329502,4.163697448284713,8,-0.18516792623601,0.0814393939393939,0.2403827376534757,3806.7,-0.964,0.0,1.0
58,58,2019-01-03,16,6,20.666666666666668,9.0,6,1.5330446317903188,6,2.514701766416539,5.214413064873525,6,-0.1049518961871303,0.2916666666666667,-0.2725774049612857,3738.0,-13.2,0.0,1.0
59,59,2019-01-03,17,7,148.42857142857142,20.428571428571427,7,1.4850710374349254,7,3.2852003939398857,5.770271431374811,7,0.397058823467385,0.4309523809523809,1.2181539499630194,3748.46,-13.912,0.0,1.0
60,60,2019-01-03,18,5,1671.6,110.0,5,3.5664409763216485,5,5.620500087979456,10.386941064301103,5,0.2987844558710383,0.295,2.0686123679464146,3757.89,-11.894,0.0,1.0
61,61,2019-01-03,19,4,39.25,12.75,4,2.1009501260152867,4,3.0474781938326623,6.14842831984795,4,0.8935585369897059,0.0375,2.386386299990687,3756.0,-8.14,0.0,1.0
62,62,2019-01-03,20,9,232.44444444444449,18.88888888888889,9,1.2074916597641818,9,2.915697767195596,5.456522760293111,9,0.3548945166410753,0.2981481481481481,-0.0236590815453862,3780.03,-5.334,0.0,1.0
63,63,2019-01-03,21,5,177.8,25.0,5,0.9656627474604604,5,2.414050584477528,4.379713331937988,5,0.4249718215680558,0.5258585858585858,1.7107622826205258,3771.26,6.652,1.0,1.0
64,64,2019-01-03,22,5,2727.8,151.0,5,3.560080582325058,5,5.803224817771458,10.563305400096516,5,0.2765485887162918,0.0399999999999999,-0.0585263173321167,3773.79,5.066,1.0,1.0
65,65,2019-01-03,23,3,242810.66666666663,52099.66666666666,3,8.509046613666955,3,10.84809061074555,20.3571372244125,3,1.845796877095846,0.1111111111111111,-5.56897594323496,3766.78,1.778,1.0,1.0
66,66,2019-01-04,0,4,656.25,32.5,4,3.305955472535211,4,5.2783312034277605,8.834286675962971,4,0.0,0.0708333333333333,1.0705018330546308,3750.3,-1.14,0.0,1.0
67,67,2019-01-04,1,2,0.0,0.0,2,0.0,2,0.0,0.0,2,0.0,0.75,0.0,3766.23,-2.76,0.0,1.0
68,68,2019-01-04,2,2,41.0,18.0,2,1.791759469228055,2,3.061246404757193,5.353005873985248,2,0.6964259592767532,0.2083333333333333,-0.4577468545134244,3758.65,-2.522,0.0,1.0
69,69,2019-01-04,3,2,42.5,7.0,2,1.5890269151739729,2,3.6017027605415475,5.19072967571552,2,-0.5190729675715521,0.6,0.0,3780.04,1.25,1.0,1.0
70,70,2019-01-04,4,5,265.6,31.4,5,2.845254721433148,5,4.453190068655032,7.498444790088179,5,-0.4060491994531633,0.1944444444444444,1.593348141286858,3775.33,1.71,1.0,1.0
71,71,2019-01-04,5,5,93.8,21.0,5,1.5828504557484884,5,2.752138210760033,4.334988666508521,5,-0.3550902701859273,0.5,2.0906240931385085,3779.9,5.92,1.0,1.0
72,72,2019-01-04,6,2,181.0,32.5,2,2.418140953475739,2,4.083108134296071,6.501249087771811,2,0.3505516814217819,0.8,2.9314820709878617,3783.02,3.358,1.0,1.0
73,73,2019-01-04,7,1,20.0,2.0,1,0.6931471805599453,1,2.995732273553991,3.688879454113936,1,-0.3688879454113936,0.6,0.0,3783.28,4.926,1.0,1.0
74,74,2019-01-04,9,1,25.0,11.0,1,2.3978952727983707,1,3.218875824868201,6.616771097666572,1,0.0,0.0,-4.134820258931841,3764.35,-2.196,0.0,1.0
75,75,2019-01-04,10,4,175.75,11.25,4,2.155117885217434,4,3.994183419804652,6.399301305022087,4,1.3206343190707743,0.2229166666666666,2.160600630885579,3775.48,-0.884,0.0,1.0
76,76,2019-01-04,11,1,95.0,61.0,1,4.110873864173311,1,4.553876891600541,9.664750755773852,1,0.0,0.325,4.028268115006542,3757.55,-5.094,0.0,1.0
77,77,2019-01-04,12,8,34.0,8.75,8,0.9739403523938416,8,1.6243162507368054,3.598256603130647,8,-0.0329166666666666,0.1195833333333333,-0.6564289240914771,3755.52,-5.552,0.0,1.0
78,78,2019-01-04,13,7,19.714285714285715,3.857142857142857,7,0.8587524534863089,7,2.884278640636963,4.885888236980414,7,-0.3700324058858137,0.5142857142857142,0.0,3744.0,-5.468,0.0,1.0
79,79,2019-01-04,14,2,28.0,13.0,2,2.5619819897016294,2,3.308701488987239,7.370683478688868,2,0.0,0.0,-1.0481210352193413,3717.14,-9.442,0.0,1.0
80,80,2019-01-04,15,3,39.0,20.0,3,2.26598013765831,3,2.7124652766855504,6.3117787476771925,3,-0.0069444444444444,0.1458333333333333,0.0,3725.28,-10.04,0.0,1.0
81,81,2019-01-04,16,8,127.25,39.625,8,2.317120632135625,8,3.69916973224652,7.1412903643821455,8,-0.3203783480042886,0.1752840909090909,-0.9930870682495834,3747.5,-2.01,0.0,1.0
82,82,2019-01-04,17,2,173.0,34.5,2,2.11705325229863,2,2.92177220851568,6.03882546081431,2,0.0,0.0,0.0,3745.22,-2.06,0.0,1.0
83,83,2019-01-04,18,3,42.66666666666666,19.666666666666668,3,2.882740484607547,3,3.634645197472336,8.18405234874655,3,0.7647357808520411,0.375,-1.600226842979841,3730.0,-2.8,0.0,1.0
84,84,2019-01-04,19,7,19168.42857142857,2528.1428571428573,7,2.902229761326532,7,5.004761070469874,8.906990831796405,7,0.4445754876804746,0.222077922077922,0.3203362715595598,3739.53,4.478,1.0,1.0
85,85,2019-01-04,20,10,3444.0,159.0,10,3.151248895255032,10,5.066540256494617,9.217789151749647,10,0.1075933937781972,0.1904545454545454,0.3268126156849141,3764.24,7.792,1.0,1.0
86,86,2019-01-04,21,3,17.0,9.666666666666666,3,1.7791793599004393,3,2.603315695492264,5.715828388726036,3,1.1899807587043758,0.1666666666666666,0.3168201614527335,3802.36,10.972,1.0,1.0
87,87,2019-01-04,22,3,42.0,20.666666666666668,3,1.9782980652065292,3,3.0895364267000525,6.067834491906582,3,-0.1005191677875173,0.3535353535353535,0.0,3790.98,9.152,1.0,1.0
88,88,2019-01-04,23,8,409.875,24.375,8,1.8952478031121245,8,3.713128817260748,6.733376620372872,8,-0.2056214666270913,0.1684027777777778,-0.385614508505235,3792.01,12.402,1.0,1.0
89,89,2019-01-05,0,1,30.0,3.0,1,1.0986122886681098,1,3.4011973816621555,4.499809670330265,1,-0.4499809670330265,0.6,0.0,,,,
90,90,2019-01-05,1,4,213.25,13.75,4,2.138333059508028,4,3.640160698397543,6.02849375790557,4,0.6659411401312402,0.1083333333333333,0.6377267393934487,,,,
91,91,2019-01-05,3,2,80.0,20.0,2,2.354765100656167,2,3.9230994077487127,6.27786450840488,2,-0.1994492023282137,0.3,1.4096578848538948,,,,
92,92,2019-01-05,4,3,1679.0,233.33333333333331,3,4.065340769892225,3,5.141633156399279,9.540307259624836,3,0.1192505470945563,0.2611111111111111,-0.4893501641921549,,,,
93,93,2019-01-05,5,1,853.0,349.0,1,5.855071922202427,1,6.748759547491679,12.603831469694107,1,-0.8665134135414699,0.45,3.730734115029456,,,,
94,94,2019-01-05,6,1,1.0,0.0,1,0.0,1,0.0,0.0,1,0.0,0.0,-0.2681,,,,
95,95,2019-01-05,7,3,14848.666666666666,1460.0,3,4.597703854340264,3,6.850029776145598,11.781066963819194,3,1.5892253786875743,0.1111111111111111,0.0,,,,
96,96,2019-01-05,8,1,2060.0,86.0,1,4.454347296253507,1,7.630461261783627,12.084808558037135,1,0.0,0.0,0.0,3793.56,-4.288,0.0,1.0
97,97,2019-01-05,9,12,41.083333333333336,18.33333333333333,12,1.8191348081423917,12,2.753142282987724,4.655610424463448,12,-0.5582987438386849,0.5333333333333333,0.55829439952585,3790.36,-5.072,0.0,1.0
98,98,2019-01-05,10,2,125.5,53.0,2,3.198464827608073,2,4.301501923914675,7.499966751522747,2,-0.2484906649788,0.3,3.5770679819851567,3787.94,-9.214,0.0,1.0
99,99,2019-01-05,11,2,4.0,0.0,2,0.0,2,1.039720770839918,1.039720770839918,2,0.0,0.2375,0.7559017145934656,3801.26,0.362,1.0,1.0
100,100,2019-01-05,12,2,39.0,21.5,2,1.8806000578467807,2,2.178354413344796,5.058954471191577,2,0.0,0.0,0.918541396830654,3802.47,3.464,1.0,1.0
101,101,2019-01-05,13,4,51.5,30.25,4,3.241382943444208,4,3.8733106077593407,8.364693551203548,4,1.2552629989963255,0.4375,0.9174126263672616,3793.84,0.056,1.0,1.0
102,102,2019-01-05,14,3,53.0,24.0,3,2.562971112288265,3,3.5227450861914584,7.419049531813056,3,-0.1527839646152037,0.1999999999999999,0.5819016156075697,3787.45,-0.582,0.0,1.0
103,103,2019-01-05,15,10,13179.9,1473.1,10,5.043531291019908,10,7.761910433843042,13.80544172486295,10,2.5819617133774697,0.353125,1.3891116023761982,3785.58,-0.472,0.0,1.0
104,104,2019-01-05,16,4,28.25,8.75,4,1.4157401200339863,4,3.2247049365171945,5.890445056551181,4,-0.1908697400792312,0.3,-0.883696326514383,3797.19,-0.814,0.0,1.0
105,105,2019-01-05,18,2,159.0,62.0,2,4.066206337250453,2,4.918673875015792,10.484880212266244,2,0.0,0.0,0.0,3809.02,3.036,1.0,1.0
